"","mRNA","logFC","FDR","Delta","IDH Wildtype","IDH Mutant","start","end"
"ENSG00000205809","ENSG00000205809",3.11739351836583,5.82573504674229e-96,313.764050719645,100.649484536082,884.103686635945,10426854,10442300
"ENSG00000183090","ENSG00000183090",2.69392507017881,2.33599474533802e-76,291.915942398448,108.360824742268,696.988479262673,143577302,143700675
"ENSG00000248184","ENSG00000248184",3.61510747887051,4.24280389402513e-120,206.84377843022,57.2164948453608,729.15668202765,54332892,54355954
"ENSG00000283633","ENSG00000283633",3.74593592118964,8.03401576449431e-127,204.404524029451,54.5670103092784,700.778801843318,16601911,16615111
"ENSG00000248587","ENSG00000248587",2.73650727718484,4.06679368692464e-78,190.00388156536,69.4329896907217,460.209677419355,37811589,37953827
"ENSG00000100867","ENSG00000100867",2.68388151531369,1.15541942869061e-75,148.471218671889,55.319587628866,344.145161290323,23630115,23645639
"ENSG00000112164","ENSG00000112164",3.39117487747975,3.92719056250374e-109,139.527617897131,41.1443298969072,425.63133640553,39048781,39091303
"ENSG00000253953","ENSG00000253953",2.86458332235728,5.59793267673681e-84,138.710802733115,48.4226804123711,360.085253456221,141387698,141512975
"ENSG00000176294","ENSG00000176294",2.71695886701391,2.90859246516252e-77,126.184532947399,46.4432989690722,283.951612903226,19719015,19830253
"ENSG00000188162","ENSG00000188162",2.83140978776656,1.40208306042252e-82,112.847734427892,39.8556701030928,253.3133640553,17547259,17647150
"ENSG00000227432","ENSG00000227432",3.43534840723043,5.25374791969095e-111,107.699943364822,31.3505154639175,344.228110599078,219482073,219516877
"ENSG00000205293","ENSG00000205293",6.73061196789135,9.72364060788589e-287,98.4612204375034,14.6288659793814,1548.91705069124,57855500,57984126
"ENSG00000250284","ENSG00000250284",2.91853319155944,3.66270594706233e-86,95.1983403927223,32.6185567010309,251.138248847926,136734830,136763409
"ENSG00000262152","ENSG00000262152",2.51379607133793,6.39827319045086e-68,82.4887927326662,32.8144329896907,152.21198156682,2988256,3002016
"ENSG00000089116","ENSG00000089116",4.12878768359815,6.48841633925942e-146,74.4884375906882,18.0412371134021,312.1866359447,113462033,113472280
"ENSG00000286364","ENSG00000286364",3.0354101194141,1.24810016115316e-91,73.4444077346896,24.1958762886598,195.635944700461,453391,477829
"ENSG00000224675","ENSG00000224675",2.59021950912506,2.49349099294588e-71,71.7517507321549,27.7010309278351,160.86866359447,154435853,154457438
"ENSG00000266968","ENSG00000266968",3.08854155381676,4.39578829553503e-94,66.2922011860463,21.4639175257732,178.912442396313,45646153,45647937
"ENSG00000236501","ENSG00000236501",3.78115903735332,3.29957802752743e-128,64.2407226140027,16.9896907216495,230.617511520737,176989418,177164656
"ENSG00000132874","ENSG00000132874",2.97260635325708,1.09166467789454e-88,63.5586141923215,21.3814432989691,165.142857142857,45212995,45683688
"ENSG00000287642","ENSG00000287642",2.83471708353595,4.75837457283442e-82,62.3345519503318,21.9896907216495,154.216589861751,152934516,152936761
"ENSG00000226939","ENSG00000226939",4.65344026320764,1.36800087261612e-173,57.2804914873187,12.3092783505155,298.790322580645,139366165,139379147
"ENSG00000279205","ENSG00000279205",3.02795106676628,6.13150245665447e-91,56.0639187207448,18.5154639175258,152.052995391705,176822030,176823653
"ENSG00000227695","ENSG00000227695",2.70677913649415,5.60070488451619e-76,54.8332062186702,20.2577319587629,134.350230414747,99927010,99959050
"ENSG00000227579","ENSG00000227579",4.48797056331433,1.89105085347491e-164,54.6884660395623,12.1855670103093,277.092165898618,177392667,177920152
"ENSG00000137731","ENSG00000137731",2.98978439592992,4.91320230516741e-89,53.1688462162795,17.7835051546392,137.532258064516,117800844,117828698
"ENSG00000173157","ENSG00000173157",4.0872911369256,1.07000425837557e-143,52.671277537701,12.8865979381443,213.539170506912,43353866,43552203
"ENSG00000234688","ENSG00000234688",2.71989669337723,4.98038215679696e-77,50.0236670204636,18.3917525773196,113.838709677419,36703918,36721472
"ENSG00000286778","ENSG00000286778",4.24074395625848,4.06184273545719e-147,42.0576874837181,9.91752577319588,185.557603686636,139323921,139364583
"ENSG00000180458","ENSG00000180458",2.69377297141416,5.35980124904053e-75,41.6285122077302,15.4536082474227,102.917050691244,37545470,37549171
"ENSG00000138653","ENSG00000138653",3.39581073507109,7.63021441373681e-109,40.1195783751698,11.8144329896907,122.693548387097,114827763,115113876
"ENSG00000232930","ENSG00000232930",2.52006053931709,1.54232587428089e-67,38.7361882899152,15.3711340206186,85.5898617511521,36001317,36055431
"ENSG00000236311","ENSG00000236311",2.6124412502462,4.04487926389988e-72,34.6889106218258,13.2783505154639,74.3986175115207,101089321,101131126
"ENSG00000132911","ENSG00000132911",2.73052969529103,2.13121952300647e-76,31.83741325128,11.659793814433,80.2350230414746,152391546,152433368
"ENSG00000150244","ENSG00000150244",2.60642789217059,1.36993359117773e-69,31.707060956302,12.1649484536082,92.5046082949309,55262155,55271114
"ENSG00000145642","ENSG00000145642",2.78666126381399,4.32586726415329e-79,30.7107308352284,11.020618556701,75.2165898617511,64690442,64718190
"ENSG00000244342","ENSG00000244342",3.69070746491099,1.2655131378771e-117,28.9929802913627,7.85567010309278,102.435483870968,62950430,63125062
"ENSG00000260496","ENSG00000260496",2.72970077851026,2.99632706605598e-73,24.3984595357567,8.93814432989691,57.8064516129032,991151,1000926
"ENSG00000257935","ENSG00000257935",4.78624231728221,3.36656117923443e-170,24.375295925128,5.09278350515464,137.870967741935,113472003,113480624
"ENSG00000286788","ENSG00000286788",3.83960165321996,5.67973193452195e-124,24.1063650186696,6.27835051546392,89.4331797235023,58241164,58247385
"ENSG00000286371","ENSG00000286371",3.73228413383347,5.60376073378309e-119,23.7788824196813,6.37113402061856,81.1290322580645,147060613,147159068
"ENSG00000152254","ENSG00000152254",3.2935494261104,7.49587403062009e-98,22.0701765667192,6.70103092783505,67.2304147465438,168901291,168910000
"ENSG00000287458","ENSG00000287458",3.4841478214449,8.75522958591224e-106,20.5456964316132,5.89690721649485,66.3202764976959,35650997,35652856
"ENSG00000249958","ENSG00000249958",2.59921908945371,7.00274073579542e-67,19.4003569150978,7.4639175257732,46.5138248847926,92889387,92890840
"ENSG00000205323","ENSG00000205323",3.00115471898982,2.36648548570006e-83,19.0898191919249,6.36082474226804,52.2534562211982,55752463,55817724
"ENSG00000220256","ENSG00000220256",2.86785599906454,6.13566410505325e-78,18.0349707157667,6.28865979381443,45.5184331797235,239762860,239824764
"ENSG00000230552","ENSG00000230552",2.57850283838897,4.25982506190558e-65,16.0292496035933,6.21649484536082,37.8456221198157,176723614,176819310
"ENSG00000248518","ENSG00000248518",3.09448014910199,6.26324040137979e-85,15.7914193175823,5.10309278350515,47.3479262672811,54376002,54376752
"ENSG00000269954","ENSG00000269954",4.57266348220086,1.44095819230801e-154,14.8965119626337,3.25773195876289,79.1359447004608,11552488,11564694
"ENSG00000129152","ENSG00000129152",3.99164915056685,6.37055932388981e-127,14.7320659371436,3.69072164948454,57.6175115207373,17719571,17722136
"ENSG00000136573","ENSG00000136573",2.62434966156117,5.25522066894807e-66,14.4745058653116,5.51546391752577,36.3179723502304,11486894,11564599
"ENSG00000163206","ENSG00000163206",3.64647558137416,7.78324442500739e-109,13.2701637136606,3.63917525773196,46.6705069124424,152878322,152885047
"ENSG00000231475","ENSG00000231475",3.09796435810348,7.47345075222746e-85,12.8709240857289,4.15463917525773,48.684331797235,106349283,106349792
"ENSG00000258710","ENSG00000258710",3.25024129878166,2.78358765400858e-91,12.7999193415938,3.93814432989691,38.8870967741936,20940380,21058440
"ENSG00000230251","ENSG00000230251",2.74905268844512,1.64182363862525e-70,12.5549519688782,4.56701030927835,29.1428571428571,154286589,154287425
"ENSG00000229559","ENSG00000229559",4.1817047040761,4.56344961904688e-133,12.2002312500364,2.91752577319588,52.9308755760369,37543553,37547280
"ENSG00000165762","ENSG00000165762",3.66535877876132,3.16984393073911e-109,11.7140332104743,3.19587628865979,39.7649769585253,19875142,19883932
"ENSG00000227098","ENSG00000227098",3.39593171949234,2.10647574407368e-96,11.3781217405671,3.35051546391753,37.0506912442396,176830839,176849428
"ENSG00000286953","ENSG00000286953",6.04051934706541,4.30218697383572e-223,10.7732973921888,1.78350515463918,121.428571428571,97799404,97882687
"ENSG00000271579","ENSG00000271579",2.85795177866793,3.36162084095578e-72,10.1648800375303,3.55670103092783,25.4354838709677,115299588,115300708
"ENSG00000162009","ENSG00000162009",3.47663142650219,1.11645608393782e-97,8.88870715229427,2.55670103092783,28.2926267281106,1078781,1080142
"ENSG00000227920","ENSG00000227920",4.24590689881865,4.51205531408842e-132,8.79821945012938,2.07216494845361,40.4101382488479,37545145,37550860
"ENSG00000282012","ENSG00000282012",3.48521722210045,1.29096313275264e-96,8.73100809247845,2.50515463917526,29.3617511520737,24691122,24696003
"ENSG00000228304","ENSG00000228304",2.79719459224191,6.18946542618624e-70,8.6799543532455,3.10309278350515,20.9585253456221,19847367,19848263
"ENSG00000286474","ENSG00000286474",3.24410474368305,1.89887554398315e-88,8.52831659421833,2.62886597938144,24.2465437788018,11313397,11436244
"ENSG00000256746","ENSG00000256746",2.60304848147108,1.81197966592298e-61,8.45319867694216,3.24742268041237,20.6497695852535,47270657,47272110
"ENSG00000145888","ENSG00000145888",2.5544599245861,4.00483316420133e-59,7.76871832734948,3.04123711340206,18.7857142857143,151822513,151924851
"ENSG00000230830","ENSG00000230830",2.53109289909994,9.16376916175197e-58,7.48890373238849,2.95876288659794,17.6912442396313,35650197,35651961
"ENSG00000189196","ENSG00000189196",2.92175023701702,8.02469006814125e-71,6.86761911381319,2.35051546391753,18.8502304147465,64078361,64087363
"ENSG00000258748","ENSG00000258748",2.55704665556233,7.65765673344184e-58,6.56396512613422,2.56701030927835,15.4953917050691,104137150,104137898
"ENSG00000180383","ENSG00000180383",3.30570871093781,3.67545663554626e-86,6.54325847938206,1.97938144329897,19.1612903225806,31465506,31476757
"ENSG00000204110","ENSG00000204110",3.07999340708959,5.36518803095187e-77,6.50926441704501,2.11340206185567,19.0437788018433,37507348,37535616
"ENSG00000231934","ENSG00000231934",2.68212626172631,1.11634197362949e-60,6.16612532335019,2.29896907216495,15.5391705069124,30323367,30362276
"ENSG00000106178","ENSG00000106178",3.37833046114658,2.31583199104753e-88,6.16458238786541,1.82474226804124,19.7004608294931,75810825,75823356
"ENSG00000189295","ENSG00000189295",5.50021715144329,2.59697088301822e-182,5.84043676905834,1.06185567010309,50.9792626728111,16654066,16675540
"ENSG00000211658","ENSG00000211658",2.61875875701259,3.53897180832781e-57,5.75047026024414,2.19587628865979,16.4608294930876,22668288,22668806
"ENSG00000260532","ENSG00000260532",3.29739122331055,2.0213232305779e-84,5.64295817597476,1.71134020618557,16.9193548387097,1111627,1113399
"ENSG00000239435","ENSG00000239435",4.57310380699663,6.44323046920149e-138,5.51601180843923,1.20618556701031,30.4193548387097,16575363,16582707
"ENSG00000226535","ENSG00000226535",3.00506008365234,6.19526574258361e-72,5.48346015264396,1.82474226804124,14.9493087557604,107169569,107171148
"ENSG00000164265","ENSG00000164265",3.16721633374993,2.07759259108403e-76,4.96306064670092,1.56701030927835,15.1520737327189,147870682,147882191
"ENSG00000249706","ENSG00000249706",2.57235449966879,6.33860223906483e-54,4.85299869525143,1.88659793814433,12.0069124423963,53899871,53916835
"ENSG00000240103","ENSG00000240103",2.86031335263316,7.06264560967431e-64,4.4526527448207,1.55670103092784,10.2511520737327,22527324,22529570
"ENSG00000253220","ENSG00000253220",2.57535669932519,1.94266993494329e-53,4.40731146482455,1.71134020618557,11.1359447004608,126497385,126500440
"ENSG00000235366","ENSG00000235366",2.79909859106931,5.98159931891614e-61,4.06879279732755,1.45360824742268,10.9447004608295,45680184,45701184
"ENSG00000281460","ENSG00000281460",2.56008944967437,1.56498054396229e-49,3.45744039079735,1.35051546391753,8.63364055299539,48476999,48477553
"ENSG00000259271","ENSG00000259271",4.88338063192285,1.4918049069742e-138,3.22202433446456,0.65979381443299,21.7119815668203,16671090,16679493
"ENSG00000124233","ENSG00000124233",3.23347662973478,5.96167204938916e-72,3.10013738727149,0.958762886597938,10.1589861751152,45207033,45209768
"ENSG00000267924","ENSG00000267924",2.55119687424831,3.27734325202636e-47,2.76160486387703,1.08247422680412,7.23502304147465,23817599,23874701
"ENSG00000256025","ENSG00000256025",2.5295734661305,1.75186652334196e-46,2.55565154310092,1.01030927835052,6.43548387096774,2219485,2223479
"ENSG00000279942","ENSG00000279942",2.58808740495835,6.58003994425942e-46,2.24123033006703,0.865979381443299,5.6705069124424,37567716,37571460
"ENSG00000230782","ENSG00000230782",2.60501924649264,9.39381291344773e-46,2.17532535016396,0.835051546391753,5.76958525345622,106974833,107102988
"ENSG00000124157","ENSG00000124157",2.82658675875894,2.02144742200886e-51,2.09808501681076,0.742268041237113,6.11981566820277,45221373,45224458
"ENSG00000236744","ENSG00000236744",3.09695721986201,4.06878327237212e-60,2.07528061124774,0.670103092783505,6.65207373271889,55247755,55597233
"ENSG00000254060","ENSG00000254060",2.55578446405422,1.17436980516841e-40,1.47550443285605,0.577319587628866,3.94700460829493,81036964,81040831
"ENSG00000233995","ENSG00000233995",5.46207516937944,6.84276908076369e-144,1.46406138560686,0.268041237113402,16.6981566820277,16572027,16574637
"ENSG00000253434","ENSG00000253434",2.74940699968308,5.87631753276867e-44,1.41722010292942,0.515463917525773,4.08294930875576,111376639,111757710
"ENSG00000228215","ENSG00000228215",2.63858129805941,1.47665538436166e-37,1.0608728930342,0.402061855670103,3.11059907834101,191823432,192011260
"ENSG00000180483","ENSG00000180483",8.31411631014533,3.14115615626326e-265,0.857125392798487,0.103092783505155,72.3640552995392,31377164,31390590
"ENSG00000183559","ENSG00000183559",2.85720072550113,7.89794798273426e-40,0.824758972309604,0.288659793814433,2.88018433179723,122697709,122699846
"ENSG00000259025","ENSG00000259025",4.16888598020621,8.53645447970008e-78,0.816585913648639,0.195876288659794,5.7741935483871,21053004,21054702
"ENSG00000164363","ENSG00000164363",4.35287473002446,2.56150374829812e-84,0.762874952684699,0.175257731958763,6.04608294930876,1225381,1246189
"ENSG00000269509","ENSG00000269509",2.50287741525017,5.66924846238888e-29,0.722480078628914,0.288659793814433,2.2741935483871,22773853,22774424
"ENSG00000278255","ENSG00000278255",2.71183877415794,9.51627433185969e-34,0.670970418348356,0.247422680412371,2.2926267281106,2217462,2217920
"ENSG00000183304","ENSG00000183304",4.27232669905382,9.82282012811429e-77,0.616624472028386,0.144329896907216,4.79032258064516,8790795,8801383
"ENSG00000189299","ENSG00000189299",2.76327176599743,2.6337158690758e-34,0.598234093669546,0.216494845360825,1.97695852534562,55623400,55626192
"ENSG00000225293","ENSG00000225293",3.9801766595657,2.0482651587306e-67,0.574458486947627,0.144329896907216,3.97235023041475,16387694,16390887
"ENSG00000267338","ENSG00000267338",3.06327317658643,6.19102393677658e-40,0.536862309298653,0.175257731958763,2.31797235023041,16616170,16617114
"ENSG00000261364","ENSG00000261364",2.74009882437526,3.63612925577499e-32,0.53672038827969,0.195876288659794,2.02073732718894,109176438,109177365
"ENSG00000266196","ENSG00000266196",2.69160288378504,5.77117459500357e-31,0.527221183421811,0.195876288659794,1.95852534562212,30713275,30714286
"ENSG00000256614","ENSG00000256614",3.65280525022093,4.78229158802545e-53,0.489551219101774,0.134020618556701,3.00230414746544,34249481,34249958
"ENSG00000287285","ENSG00000287285",4.9645863752592,4.85018153852899e-99,0.460631725539514,0.0927835051546392,6.47465437788018,16592895,16600110
"ENSG00000236875","ENSG00000236875",3.17898509936692,2.13869970558705e-40,0.458822591661205,0.144329896907216,2.27649769585253,12134,13783
"ENSG00000261122","ENSG00000261122",4.51370676660774,4.51483334795782e-80,0.418797535046079,0.0927835051546392,4.67511520737327,35743268,35756515
"ENSG00000237767","ENSG00000237767",2.87312132864382,1.14341612000316e-32,0.414677305165088,0.144329896907216,1.90552995391705,40004216,40011323
"ENSG00000270222","ENSG00000270222",2.84206837711579,1.16431766845539e-32,0.380895761881497,0.134020618556701,1.69815668202765,59655602,59656336
"ENSG00000227159","ENSG00000227159",3.19491851739668,3.3891944411909e-39,0.362310347333644,0.11340206185567,2.03917050691244,156025664,156027877
"ENSG00000225574","ENSG00000225574",3.06418214987799,4.93624732432356e-36,0.347484573697504,0.11340206185567,1.78341013824885,8783514,8784461
"ENSG00000179420","ENSG00000179420",2.58146838326223,7.65730409852514e-26,0.345969989509372,0.134020618556701,1.58986175115207,143062330,143063585
"ENSG00000282842","ENSG00000282842",2.79527595544318,1.2521655377845e-30,0.345807334694002,0.123711340206186,1.59907834101382,29415264,29416911
"ENSG00000259016","ENSG00000259016",2.62494138838103,1.13778597930826e-26,0.324735017119303,0.123711340206186,1.39170506912442,19908096,19908649
"ENSG00000259769","ENSG00000259769",2.51340246843889,2.43002209026123e-23,0.285025022194101,0.11340206185567,1.23732718894009,20046296,20047994
"ENSG00000237388","ENSG00000237388",3.16759668579562,9.61925808528497e-34,0.163278179680187,0.0515463917525773,1.42396313364055,48488717,48489780
"ENSG00000211979","ENSG00000211979",2.54280385260421,1.38058409732997e-21,0.131072363536299,0.0515463917525773,0.847926267281106,106874583,106875071
"ENSG00000250376","ENSG00000250376",2.78672258370689,2.04475190676886e-25,0.086187296403306,0.0309278350515464,0.960829493087558,68784618,68787474
"ENSG00000255304","ENSG00000255304",2.65979511968334,8.94883348375476e-22,0.0548411364883163,0.0206185567010309,0.78110599078341,48496348,48497280
"ENSG00000234200","ENSG00000234200",-2.54516297532403,2.6672153868576e-48,-5.01160956996794,1.96907216494845,0.221198156682028,153028785,153030148
"ENSG00000196620","ENSG00000196620",-2.70295185135054,3.25852469017664e-55,-5.21084532167578,1.92783505154639,0.205069124423963,68646597,68670652
"ENSG00000231178","ENSG00000231178",-2.60523538105262,6.5797799818549e-52,-5.23732885881712,2.01030927835052,0.228110599078341,159353922,159383339
"ENSG00000186190","ENSG00000186190",-2.61815339386458,3.73773745055107e-53,-5.39825442033933,2.06185567010309,0.26036866359447,33055424,33073628
"ENSG00000257924","ENSG00000257924",-2.63663610562332,1.78215313261029e-54,-5.84409033720634,2.21649484536082,0.253456221198157,47353754,47369935
"ENSG00000238087","ENSG00000238087",-2.52460206824658,2.04048157237933e-52,-5.90808937620592,2.34020618556701,0.297235023041475,166566178,166580705
"ENSG00000270265","ENSG00000270265",-2.70226753605609,7.56991968983162e-58,-6.01742049266099,2.22680412371134,0.255760368663594,151333775,151353224
"ENSG00000277350","ENSG00000277350",-2.80992763558304,5.13959614964482e-60,-6.08334848940658,2.16494845360825,0.19815668202765,66942703,66952344
"ENSG00000217684","ENSG00000217684",-2.73569480587066,1.03206519206361e-59,-6.12005951416425,2.23711340206186,0.232718894009217,140761529,140762262
"ENSG00000264006","ENSG00000264006",-2.84844600570713,6.55271109919848e-63,-6.16673877524224,2.16494845360825,0.241935483870968,5154140,5185187
"ENSG00000231651","ENSG00000231651",-2.61353786386719,1.26538425371624e-56,-6.17010485387202,2.36082474226804,0.28110599078341,70452958,70455994
"ENSG00000225548","ENSG00000225548",-2.87329595797419,2.70409856575825e-67,-7.07956426758589,2.4639175257732,0.278801843317972,27797552,27931579
"ENSG00000253569","ENSG00000253569",-2.57875963187735,7.36268387643852e-59,-7.15140557706192,2.77319587628866,0.347926267281106,33722305,33723079
"ENSG00000230489","ENSG00000230489",-3.21726981084017,1.18218021794805e-77,-7.19739741187956,2.23711340206186,0.129032258064516,107964443,107994607
"ENSG00000224445","ENSG00000224445",-2.73003591606941,1.92158186645439e-63,-7.34576674323832,2.69072164948454,0.297235023041475,99472332,99600995
"ENSG00000232843","ENSG00000232843",-3.16623025958449,3.40568265881993e-77,-7.50755628561272,2.37113402061856,0.140552995391705,92893698,92894505
"ENSG00000280048","ENSG00000280048",-2.79109611447027,2.24363889343432e-66,-7.53883692774445,2.70103092783505,0.30184331797235,96112628,96116051
"ENSG00000204121","ENSG00000204121",-3.13015042539685,9.86178249176726e-78,-7.64789330741293,2.44329896907217,0.205069124423963,232415818,232419816
"ENSG00000261332","ENSG00000261332",-2.89932648378177,8.82260942114985e-71,-7.65183072008385,2.63917525773196,0.253456221198157,30498766,30499554
"ENSG00000258203","ENSG00000258203",-2.62749515582874,4.01308209109153e-63,-7.71995999392982,2.93814432989691,0.357142857142857,48005277,48011227
"ENSG00000214111","ENSG00000214111",-2.58606575555265,1.38479002705125e-61,-7.8115182100714,3.02061855670103,0.3963133640553,25029545,25030235
"ENSG00000249082","ENSG00000249082",-3.35705237567197,3.04020232929185e-84,-8.02923867171028,2.39175257731959,0.110599078341014,135038831,135040047
"ENSG00000235608","ENSG00000235608",-2.57860442552809,1.11371445936127e-61,-8.10798298748524,3.14432989690722,0.377880184331797,1402932,1406442
"ENSG00000237924","ENSG00000237924",-2.98025126482507,5.93576885777742e-75,-8.11119931869916,2.72164948453608,0.244239631336406,94760553,94761015
"ENSG00000286073","ENSG00000286073",-2.77262682726651,1.5755994404746e-69,-8.23212913662635,2.96907216494845,0.327188940092166,157287267,157310655
"ENSG00000249959","ENSG00000249959",-2.50931632929256,2.60137720094094e-62,-8.51098012718818,3.39175257731959,0.486175115207373,107699392,107716841
"ENSG00000250360","ENSG00000250360",-3.21605043845053,1.99920245465641e-84,-8.62034138141379,2.68041237113402,0.172811059907834,50965687,50967008
"ENSG00000224413","ENSG00000224413",-2.57186193101135,2.52124177757247e-63,-8.74963337354377,3.4020618556701,0.456221198156682,46037052,46039807
"ENSG00000230936","ENSG00000230936",-3.01283301025686,1.91427980452086e-78,-8.75895782363335,2.90721649484536,0.244239631336406,55342316,55344958
"ENSG00000258803","ENSG00000258803",-2.78442958504559,9.12115167444123e-71,-8.78387064973144,3.15463917525773,0.350230414746544,56514331,56551309
"ENSG00000236972","ENSG00000236972",-2.679815426361,8.47741726230407e-68,-8.92350910015055,3.3298969072165,0.410138248847926,73100575,73100985
"ENSG00000198765","ENSG00000198765",-3.50607008764083,1.76216812046183e-94,-9.00011806002645,2.56701030927835,0.142857142857143,114854863,114995370
"ENSG00000256083","ENSG00000256083",-3.11815897540635,3.43112198217303e-83,-9.00087126921422,2.88659793814433,0.232718894009217,65934777,65948479
"ENSG00000226005","ENSG00000226005",-3.17087004005287,7.61234240147371e-84,-9.12033753788403,2.87628865979381,0.202764976958525,3911889,3935817
"ENSG00000147183","ENSG00000147183",-3.25559459406437,1.3945350603744e-88,-9.16265282659355,2.81443298969072,0.186635944700461,88747225,88754785
"ENSG00000196337","ENSG00000196337",-2.50583515387815,2.16919092634677e-62,-9.19667334825382,3.6701030927835,0.534562211981567,49054275,49058860
"ENSG00000229735","ENSG00000229735",-3.16895527431682,1.38016818129825e-86,-9.24550868692434,2.91752577319588,0.241935483870968,38484752,38485264
"ENSG00000250708","ENSG00000250708",-3.08328781769835,5.74479104411705e-82,-9.40879581483208,3.05154639175258,0.241935483870968,173699082,174001488
"ENSG00000156096","ENSG00000156096",-3.09928440562267,1.68130273449587e-83,-9.48956153061786,3.06185567010309,0.271889400921659,69480165,69526014
"ENSG00000259150","ENSG00000259150",-2.88575291448924,3.39757726354138e-76,-9.52000961480987,3.29896907216495,0.338709677419355,26115726,26134001
"ENSG00000231240","ENSG00000231240",-2.90683136465176,6.14273460187995e-80,-9.6794487709538,3.3298969072165,0.373271889400922,130036958,130038422
"ENSG00000236719","ENSG00000236719",-2.55920178333077,1.66391952299484e-67,-9.73552018607271,3.80412371134021,0.566820276497696,180509380,180566523
"ENSG00000258551","ENSG00000258551",-2.67495806289675,3.00534950954674e-71,-9.76221808521083,3.64948453608247,0.486175115207373,91408708,91605873
"ENSG00000248975","ENSG00000248975",-3.42232025503835,3.59962612844396e-96,-9.77301763552189,2.85567010309278,0.168202764976959,29952397,30297043
"ENSG00000237179","ENSG00000237179",-3.06315629993044,2.30770530574677e-83,-9.91578431111504,3.23711340206186,0.28110599078341,66696190,66703252
"ENSG00000287253","ENSG00000287253",-3.4213974738902,1.05963035832961e-94,-9.94674317151585,2.90721649484536,0.152073732718894,117262243,117264817
"ENSG00000287179","ENSG00000287179",-3.08732481969783,1.47141605115077e-84,-9.96219245943734,3.22680412371134,0.262672811059908,63569419,63571617
"ENSG00000163098","ENSG00000163098",-3.93170960440324,2.17885748727077e-113,-10.0116729101815,2.54639175257732,0.0622119815668203,53289601,53291426
"ENSG00000285544","ENSG00000285544",-2.9757764292601,2.86808034479775e-83,-10.123775480988,3.4020618556701,0.373271889400922,64045429,64114556
"ENSG00000046774","ENSG00000046774",-2.73724360085373,1.31578257925399e-72,-10.1588422299726,3.71134020618557,0.414746543778802,142202342,142205290
"ENSG00000271384","ENSG00000271384",-2.71624143198318,2.84349467674492e-72,-10.1929059921843,3.75257731958763,0.465437788018433,95406990,95407662
"ENSG00000281769","ENSG00000281769",-2.5439793959402,1.41396976511085e-67,-10.2283707671822,4.02061855670103,0.622119815668203,1045625,1048641
"ENSG00000248749","ENSG00000248749",-3.07318795026036,2.11128207512289e-84,-10.2967637508723,3.35051546391753,0.258064516129032,84371393,84380189
"ENSG00000239767","ENSG00000239767",-3.64585532843152,8.07248005704993e-106,-10.4865323364164,2.87628865979381,0.140552995391705,86258936,86267424
"ENSG00000277260","ENSG00000277260",-3.93779892961122,4.43384190539405e-115,-10.7579042922368,2.7319587628866,0.0622119815668203,42199000,42204988
"ENSG00000254293","ENSG00000254293",-3.33686895811679,1.28409551061758e-95,-10.8018232252441,3.23711340206186,0.19815668202765,154483917,154486150
"ENSG00000163746","ENSG00000163746",-2.59097675320485,8.91213293367006e-71,-10.817995722144,4.17525773195876,0.596774193548387,146391421,146495991
"ENSG00000264859","ENSG00000264859",-3.61847555437202,1.26052811643976e-108,-10.8181227914215,2.98969072164948,0.168202764976959,31542146,31556948
"ENSG00000286028","ENSG00000286028",-3.01527048222067,8.14042811229801e-86,-10.9420124715637,3.62886597938144,0.366359447004608,111510600,111513888
